full_date,date_id,day,month,year,weekday,quarter
2017-10-02,20171002,2,10,2017,Monday,4
2018-07-24,20180724,24,7,2018,Tuesday,3
2018-08-08,20180808,8,8,2018,Wednesday,3
2017-11-18,20171118,18,11,2017,Saturday,4
2018-02-13,20180213,13,2,2018,Tuesday,1
2017-07-09,20170709,9,7,2017,Sunday,3
2017-04-11,20170411,11,4,2017,Tuesday,2
2017-05-16,20170516,16,5,2017,Tuesday,2
2017-01-23,20170123,23,1,2017,Monday,1
2017-07-29,20170729,29,7,2017,Saturday,3
2017-07-13,20170713,13,7,2017,Thursday,3
2018-06-07,20180607,7,6,2018,Thursday,2
2018-07-25,20180725,25,7,2018,Wednesday,3
2018-03-01,20180301,1,3,2018,Thursday,1
2018-01-02,20180102,2,1,2018,Tuesday,1
2017-12-26,20171226,26,12,2017,Tuesday,4
2017-11-21,20171121,21,11,2017,Tuesday,4
2017-10-26,20171026,26,10,2017,Thursday,4
2017-09-18,20170918,18,9,2017,Monday,3
2018-03-15,20180315,15,3,2018,Thursday,1
2018-02-03,20180203,3,2,2018,Saturday,1
2018-01-08,20180108,8,1,2018,Monday,1
2018-08-09,20180809,9,8,2018,Thursday,3
2018-02-20,20180220,20,2,2018,Tuesday,1
2018-06-04,20180604,4,6,2018,Monday,2
2018-03-12,20180312,12,3,2018,Monday,1
2018-05-02,20180502,2,5,2018,Wednesday,2
2018-02-25,20180225,25,2,2018,Sunday,1
2017-08-10,20170810,10,8,2017,Thursday,3
2018-04-16,20180416,16,4,2018,Monday,2
2017-12-12,20171212,12,12,2017,Tuesday,4
2018-07-29,20180729,29,7,2018,Sunday,3
2018-02-17,20180217,17,2,2018,Saturday,1
2018-02-21,20180221,21,2,2018,Wednesday,1
2017-07-31,20170731,31,7,2017,Monday,3
2018-06-01,20180601,1,6,2018,Friday,2
2018-03-26,20180326,26,3,2018,Monday,1
2017-05-19,20170519,19,5,2017,Friday,2
2017-11-24,20171124,24,11,2017,Friday,4
2017-08-04,20170804,4,8,2017,Friday,3
2018-08-04,20180804,4,8,2018,Saturday,3
2017-05-18,20170518,18,5,2017,Thursday,2
2017-05-14,20170514,14,5,2017,Sunday,2
2018-05-17,20180517,17,5,2018,Thursday,2
2017-08-09,20170809,9,8,2017,Wednesday,3
2018-02-01,20180201,1,2,2018,Thursday,1
2018-06-26,20180626,26,6,2018,Tuesday,2
2018-07-26,20180726,26,7,2018,Thursday,3
2017-12-15,20171215,15,12,2017,Friday,4
2017-08-31,20170831,31,8,2017,Thursday,3
2018-06-11,20180611,11,6,2018,Monday,2
2018-03-09,20180309,9,3,2018,Friday,1
2017-03-13,20170313,13,3,2017,Monday,1
2017-06-13,20170613,13,6,2017,Tuesday,2
2017-11-30,20171130,30,11,2017,Thursday,4
2018-08-05,20180805,5,8,2018,Sunday,3
2017-11-15,20171115,15,11,2017,Wednesday,4
2018-02-19,20180219,19,2,2018,Monday,1
2018-04-22,20180422,22,4,2018,Sunday,2
2018-01-07,20180107,7,1,2018,Sunday,1
2018-02-10,20180210,10,2,2018,Saturday,1
2018-06-18,20180618,18,6,2018,Monday,2
2018-06-13,20180613,13,6,2018,Wednesday,2
2018-07-15,20180715,15,7,2018,Sunday,3
2017-09-13,20170913,13,9,2017,Wednesday,3
2018-04-13,20180413,13,4,2018,Friday,2
2018-02-15,20180215,15,2,2018,Thursday,1
2017-02-20,20170220,20,2,2017,Monday,1
2017-04-20,20170420,20,4,2017,Thursday,2
2017-09-15,20170915,15,9,2017,Friday,3
